Trying to bind to IPC: /home/mininet/astraea_ipc/astraea454563
Successfull bind to IPC: /home/mininet/astraea_ipc/astraea454563
2025-05-27 16:55:55.387505: I tensorflow/core/platform/cpu_feature_guard.cc:142] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 AVX512F FMA
2025-05-27 16:55:55.392314: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2899995000 Hz
2025-05-27 16:55:55.393038: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x5646862b09d0 executing computations on platform Host. Devices:
2025-05-27 16:55:55.393191: I tensorflow/compiler/xla/service/service.cc:175]   StreamExecutor device (0): <undefined>, <undefined>
2025-05-27 16:55:55.486287: W tensorflow/compiler/jit/mark_for_compilation_pass.cc:1412] (One-time warning): Not using XLA:CPU for cluster because envvar TF_XLA_FLAGS=--tf_xla_cpu_global_jit was not set.  If you want XLA:CPU, either set that envvar, or use experimental_jit_scope to enable XLA:CPU.  To confirm that XLA is active, pass --vmodule=xla_compilation_cache=1 (as a proper command-line flag, not via TF_XLA_FLAGS) or set the envvar XLA_FLAGS=--xla_hlo_profile.
[2025-05-27 16:55:55,895 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 810168, 'avg_urtt': 30468, 'cnt': 9, 'cwnd': 19, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 19, 'max_tput': 810168, 'min_rtt': 30345, 'mss_cache': 1448, 'pacing_rate': 902447, 'packets_out': 19, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 243888, 'thr_cnt': 9, 'time_delta': 30000}
[2025-05-27 16:55:55,925 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 859105, 'avg_urtt': 30486, 'cnt': 8, 'cwnd': 20, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 20, 'max_tput': 859105, 'min_rtt': 30345, 'mss_cache': 1448, 'pacing_rate': 943237, 'packets_out': 20, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 245622, 'thr_cnt': 8, 'time_delta': 30004}
[2025-05-27 16:55:55,955 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 898806, 'avg_urtt': 30500, 'cnt': 10, 'cwnd': 21, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 21, 'max_tput': 898806, 'min_rtt': 30345, 'mss_cache': 1448, 'pacing_rate': 995184, 'packets_out': 21, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 244441, 'thr_cnt': 10, 'time_delta': 29999}
[2025-05-27 16:55:55,985 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 942909, 'avg_urtt': 30516, 'cnt': 9, 'cwnd': 22, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 22, 'max_tput': 942909, 'min_rtt': 30345, 'mss_cache': 1448, 'pacing_rate': 1040085, 'packets_out': 21, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 245026, 'thr_cnt': 9, 'time_delta': 30001}
[2025-05-27 16:55:56,015 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 985286, 'avg_urtt': 30548, 'cnt': 10, 'cwnd': 23, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 23, 'max_tput': 985286, 'min_rtt': 30345, 'mss_cache': 1448, 'pacing_rate': 1089456, 'packets_out': 23, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 244555, 'thr_cnt': 10, 'time_delta': 29997}
[2025-05-27 16:55:56,045 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 1046651, 'avg_urtt': 30545, 'cnt': 11, 'cwnd': 24, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 24, 'max_tput': 1046651, 'min_rtt': 30345, 'mss_cache': 1448, 'pacing_rate': 1135213, 'packets_out': 23, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 244902, 'thr_cnt': 11, 'time_delta': 29996}
[2025-05-27 16:55:56,075 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 1076168, 'avg_urtt': 30527, 'cnt': 12, 'cwnd': 25, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 25, 'max_tput': 1076168, 'min_rtt': 30345, 'mss_cache': 1448, 'pacing_rate': 1185165, 'packets_out': 25, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 244354, 'thr_cnt': 12, 'time_delta': 29978}
[2025-05-27 16:55:56,105 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 1117164, 'avg_urtt': 30539, 'cnt': 12, 'cwnd': 26, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 26, 'max_tput': 1117164, 'min_rtt': 30345, 'mss_cache': 1448, 'pacing_rate': 1226738, 'packets_out': 24, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 245516, 'thr_cnt': 12, 'time_delta': 30039}
[2025-05-27 16:55:56,135 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 1180514, 'avg_urtt': 30481, 'cnt': 12, 'cwnd': 27, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 27, 'max_tput': 1180514, 'min_rtt': 30345, 'mss_cache': 1448, 'pacing_rate': 1280996, 'packets_out': 27, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 244160, 'thr_cnt': 12, 'time_delta': 29962}
[2025-05-27 16:55:56,165 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 1229191, 'avg_urtt': 30495, 'cnt': 13, 'cwnd': 28, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 28, 'max_tput': 1229191, 'min_rtt': 30345, 'mss_cache': 1448, 'pacing_rate': 1327896, 'packets_out': 27, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 244260, 'thr_cnt': 13, 'time_delta': 30003}
